This is the maximal cover of three p-p methods.
pt	y	ey
0.243374	0.0473789	0.00526276
0.247075	0.0481946	0.00522333
0.250831	0.0490274	0.00518049
0.254645	0.0498977	0.00515439
0.258518	0.0508431	0.00518212
0.262448	0.0518047	0.0052045
0.266439	0.0527824	0.00522125
0.27049	0.0537761	0.00523215
0.274603	0.0547857	0.00523705
0.278779	0.0558111	0.00523585
0.283018	0.0568522	0.0052285
0.287321	0.0579089	0.005215
0.29169	0.0589809	0.00519541
0.296126	0.0600682	0.00516981
0.300628	0.0611706	0.00513835
0.3052	0.062288	0.00510118
0.30984	0.0634201	0.00505851
0.314552	0.0645667	0.0050106
0.319335	0.0657277	0.00495773
0.32419	0.066903	0.00490021
0.32912	0.0680921	0.00483841
0.334124	0.069295	0.00477274
0.339205	0.0705114	0.00470361
0.344363	0.0717411	0.00463152
0.349599	0.0729839	0.00455696
0.354915	0.0741855	0.00453441
0.360311	0.0753657	0.00454449
0.36579	0.0765606	0.00455141
0.371352	0.0777705	0.00455528
0.376999	0.0789955	0.00455637
0.382731	0.0802359	0.0045547
0.388551	0.0814919	0.00455047
0.394459	0.0827636	0.00454397
0.400457	0.0840513	0.00453518
0.406546	0.0853551	0.00452437
0.412728	0.086675	0.00451166
0.419004	0.0880113	0.00449716
0.425375	0.0893639	0.00448088
0.431843	0.0907326	0.00446296
0.43841	0.0921177	0.0044433
0.445076	0.0935187	0.00442198
0.451843	0.0949357	0.00439891
0.458714	0.0963684	0.00437394
0.465689	0.0978165	0.00434703
0.47277	0.0992797	0.00431796
0.479959	0.100758	0.00428648
0.487257	0.10225	0.00425283
0.494666	0.103756	0.0042163
0.502188	0.105276	0.00417645
0.509824	0.106809	0.00413459
0.517576	0.108355	0.00408851
0.525446	0.109912	0.00403952
0.533436	0.111481	0.00398696
0.541547	0.113062	0.00393118
0.549781	0.114654	0.00387153
0.558141	0.116257	0.00380846
0.566628	0.11787	0.00374187
0.575244	0.119492	0.00367174
0.583991	0.121124	0.00359862
0.592871	0.122766	0.00352203
0.601886	0.124418	0.00344261
0.611038	0.126078	0.00336049
0.620329	0.127747	0.0032769
0.629761	0.129425	0.00319158
0.639337	0.131056	0.00316182
0.649059	0.132694	0.00313309
0.658928	0.134343	0.00310345
0.668947	0.136003	0.00307368
0.679119	0.137674	0.0030447
0.689446	0.139357	0.00301761
0.699929	0.141093	0.00303464
0.710572	0.142912	0.00312794
0.721377	0.144744	0.00322718
0.732345	0.146589	0.00333369
0.743481	0.148446	0.0034478
0.754786	0.150314	0.00357033
0.766263	0.152192	0.00370103
0.777915	0.15408	0.00384056
0.789743	0.155979	0.00398994
0.801752	0.157886	0.00414854
0.813943	0.159802	0.00431609
0.826319	0.161728	0.00449311
0.838884	0.163665	0.00467848
0.85164	0.16561	0.00487194
0.86459	0.167567	0.0050731
0.877736	0.169534	0.00528096
0.891083	0.171513	0.005495
0.904632	0.173506	0.00571412
0.918388	0.175512	0.00593768
0.932352	0.177531	0.00616406
0.946529	0.179566	0.00639363
0.960922	0.181617	0.00662427
0.975533	0.183685	0.00685634
0.990367	0.18577	0.00708775
1.00543	0.187873	0.00731942
1.02071	0.189995	0.00754878
1.03623	0.192137	0.00777677
1.05199	0.1943	0.00800136
1.06799	0.196485	0.00822305
1.08423	0.19869	0.00844082
1.10071	0.200919	0.00865319
1.11745	0.203171	0.00886119
1.13444	0.205447	0.00906337
1.15169	0.207748	0.00926027
1.1692	0.210074	0.00944947
1.18698	0.212458	0.00966539
