This is our final result, combined different p+p methods as well as the flow effect.
pt	y	ey
0.314552	0.0532861	0.0522395
0.319335	0.0523699	0.051267
0.32419	0.0514987	0.0503325
0.32912	0.050676	0.0494381
0.334124	0.0499043	0.0485848
0.339205	0.0491871	0.047774
0.344363	0.048528	0.0470065
0.349599	0.0479308	0.0462826
0.354915	0.0473999	0.0456017
0.360311	0.0469402	0.0449624
0.36579	0.0465582	0.0443617
0.371352	0.046262	0.0437943
0.376999	0.0460625	0.0432518
0.382731	0.045976	0.0427204
0.388551	0.0460265	0.042178
0.394459	0.0462515	0.0415886
0.400457	0.0471999	0.0413867
0.406546	0.0486722	0.0412072
0.412728	0.050499	0.0406877
0.419004	0.0527447	0.0397638
0.425375	0.0553904	0.0384543
0.431843	0.0583463	0.0368493
0.43841	0.0615089	0.0350521
0.445076	0.0649136	0.0332609
0.451843	0.0685263	0.0315525
0.458714	0.0721819	0.0298347
0.465689	0.0758557	0.0281318
0.47277	0.079531	0.0264604
0.479959	0.0831946	0.024833
0.487257	0.0868371	0.0232597
0.494666	0.0904496	0.0217474
0.502188	0.0940264	0.0203045
0.509824	0.0975598	0.0189358
0.517576	0.101045	0.0176479
0.525446	0.104475	0.0164468
0.533436	0.107843	0.015338
0.541547	0.111145	0.0143289
0.549781	0.114371	0.0134259
0.558141	0.117513	0.0126367
0.566628	0.120564	0.011969
0.575244	0.123073	0.0119485
0.583991	0.125582	0.011928
0.592871	0.128092	0.0119075
0.601886	0.130601	0.0118871
0.611038	0.13311	0.0118668
0.620329	0.135619	0.0118466
0.629761	0.138128	0.0118264
0.639337	0.140637	0.0118062
0.649059	0.142744	0.0122578
0.658928	0.14486	0.0127073
0.668947	0.146985	0.0131535
0.679119	0.149117	0.0135972
0.689446	0.151257	0.014038
0.699929	0.153402	0.0144749
0.710572	0.155553	0.0149105
0.721377	0.157709	0.0153436
0.732345	0.159869	0.0157757
0.743481	0.162034	0.0162082
0.754786	0.164204	0.0166427
0.766263	0.166378	0.017079
0.777915	0.168557	0.0175182
0.789743	0.170741	0.0179617
0.801752	0.172929	0.0184111
0.813943	0.175125	0.0188663
0.826319	0.177326	0.0193266
0.838884	0.179534	0.0197926
0.85164	0.181751	0.0202652
0.86459	0.183976	0.0207429
0.877736	0.186211	0.0212257
0.891083	0.188455	0.0217125
0.904632	0.190711	0.0222027
0.918388	0.192978	0.0226951
0.932352	0.195257	0.0231885
0.946529	0.19755	0.0236828
0.960922	0.199855	0.0241757
0.975533	0.202176	0.0246675
0.990367	0.204511	0.0251555
1.00543	0.20686	0.0256398
1.02071	0.209225	0.0261197
1.03623	0.211607	0.0265936
1.05199	0.214004	0.0270596
1.06799	0.216418	0.0275178
1.08423	0.21885	0.0279675
1.10071	0.2213	0.0284079
1.11745	0.223766	0.0288374
1.13444	0.226252	0.0292556
1.15169	0.228756	0.0296624
1.1692	0.23128	0.030056
1.18698	0.233823	0.0304364
1.20503	0.236386	0.0308034
1.22335	0.238969	0.0311566
1.24196	0.241573	0.0314948
1.26084	0.244198	0.0318182
1.28001	0.246845	0.0321264
1.29948	0.249514	0.03242
1.31923	0.252205	0.0326978
1.33929	0.254921	0.0329609
1.35966	0.257661	0.0332087
1.38033	0.260425	0.0334424
1.40132	0.263215	0.0336623
1.42263	0.266031	0.0338688
1.44426	0.268875	0.0340633
1.46622	0.271689	0.0343043
1.48852	0.274499	0.0345703
1.51115	0.277364	0.034803
1.53413	0.280295	0.0349938
1.55746	0.283303	0.0351355
1.58114	0.286398	0.0352206
1.60518	0.289589	0.0352414
1.62959	0.292752	0.0353238
1.65437	0.29589	0.0354666
1.67952	0.299064	0.0356096
1.70506	0.302272	0.0357534
1.73099	0.305513	0.035898
1.75731	0.308786	0.0360447
1.78403	0.311996	0.0362864
1.81116	0.31516	0.0366001
1.8387	0.318351	0.0369124
1.86665	0.321567	0.0372214
1.89504	0.324807	0.037526
1.92385	0.328069	0.0378242
1.95311	0.331349	0.038114
1.9828	0.334647	0.0383945
2.01295	0.337959	0.0386633
2.04356	0.341284	0.0389206
2.07464	0.34462	0.0391634
2.10618	0.347965	0.0393908
2.13821	0.351316	0.0396016
2.17072	0.354673	0.0397942
2.20373	0.35803	0.0399667
2.23724	0.36139	0.0401184
2.27126	0.364749	0.0402472
2.30579	0.368105	0.0403528
2.34085	0.371458	0.0404317
2.37645	0.374804	0.0404837
2.41258	0.37839	0.0406613
2.44927	0.381974	0.0408365
2.48651	0.385558	0.0410129
2.52432	0.389134	0.0411823
2.5627	0.392711	0.0413539
2.60167	0.396277	0.0415151
2.64123	0.399844	0.0416792
2.68139	0.403398	0.0418309
2.72216	0.406952	0.0419858
2.76355	0.410493	0.0421282
2.80558	0.414034	0.0422735
2.84824	0.417565	0.0424082
2.89155	0.421095	0.0425451
2.93551	0.424619	0.0426749
2.98015	0.428142	0.0428058
3.02546	0.431663	0.0429343
3.07147	0.43429	0.0426921
3.11817	0.436808	0.0423747
3.16559	0.439223	0.0419901
3.21372	0.441543	0.0415429
3.26259	0.443773	0.041041
3.3122	0.445921	0.0404912
3.36256	0.447989	0.0398983
3.41369	0.449934	0.0393204
3.4656	0.451595	0.0389276
3.51829	0.453183	0.0385142
3.57179	0.454705	0.038085
3.6261	0.456162	0.0376435
3.68124	0.457559	0.0371924
3.73721	0.458898	0.0367328
3.79404	0.460182	0.0362683
3.85173	0.461415	0.0358003
3.9103	0.462599	0.0353315
3.96976	0.463737	0.0348619
4.03012	0.464831	0.0343938
4.0914	0.465884	0.0339295
4.15361	0.466897	0.0334699
4.21677	0.467873	0.0330154
